text,label,text_length,word_count,created_at,processed_text,original_length,processed_length,compression_ratio
WARNING: New study proves 5G towers are causing brain tumors! Governments are covering up the evidence! Share to spread awareness!,1,130,20,2026-05-12,warn new study prove tower cause brain tumor government cover evidence share spread awareness,130,93,0.7153846153846154
The Reserve Bank of India kept the repo rate unchanged at 6.5% citing concerns over inflation and global economic uncertainty.,0,126,20,2026-05-12,reserve bank india keep repo rate unchanged cite concern inflation global economic uncertainty,126,94,0.746031746031746
"Official government data released today shows that India's GDP grew by 7.2% in the last quarter, beating market expectations.",0,125,19,2026-05-12,official government data release today show india gdp grow last quarter beat market expectation,125,95,0.76
The World Health Organization confirmed that the new COVID-19 variant shows reduced severity compared to previous strains based on preliminary data.,0,148,21,2026-05-12,world health organization confirm new covid variant show reduce severity compare previous strain base preliminary data,148,118,0.7972972972972973
Government data shows the Reserve Bank of India kept the repo rate unchanged at 6.5% citing concerns over inflation and global economic uncertainty.,0,148,23,2026-05-12,government data show reserve bank india keep repo rate unchanged cite concern inflation global economic uncertainty,148,115,0.777027027027027
🚨 URGENT: WHO admits COVID vaccines cause permanent DNA mutation! This doctor reveals the truth that big pharma is hiding! 🚨 Share this with everyone you know!,1,159,27,2026-05-12,urgent admits covid vaccine cause permanent dna mutation doctor reveals truth big pharma hide share everyone,159,108,0.6792452830188679
"In a press release, the Election Commission announced that voting for the upcoming state assembly elections will take place in seven phases starting next month.",0,160,25,2026-05-12,press release election commission announce vote upcoming state assembly election place seven phase start next month,160,115,0.71875
CONSPIRACY REVEALED: Foreign powers are controlling Indian politicians through blackmail! The truth they don't want you to know!,1,128,18,2026-05-12,conspiracy reveal foreign power control indian politician blackmail truth dont,128,78,0.609375
URGENT: WHO admits COVID vaccines cause permanent DNA mutation! This doctor reveals the truth that big pharma is hiding!,1,120,19,2026-05-12,urgent admits covid vaccine cause permanent dna mutation doctor reveals truth big pharma hiding,120,95,0.7916666666666666
Government data shows a study published in The Lancet medical journal found that regular exercise reduces the risk of heart disease by up to 35%.,0,145,25,2026-05-12,government data show study publish lancet medical journal find regular exercise reduces risk heart disease,145,106,0.7310344827586207
"Government data shows scientists have discovered a new exoplanet in the habitable zone of its star, according to research published in Nature Astronomy.",0,152,23,2026-05-12,government data show scientist discover new exoplanet habitable zone star research publish nature astronomy,152,107,0.7039473684210527
EXPOSED: Celebrity caught in human trafficking ring! The mainstream media is protecting their own! Full evidence inside!,1,120,17,2026-05-12,expose celebrity catch human traffic ring mainstream medium protect full evidence inside,120,88,0.7333333333333333
🚨 CONSPIRACY REVEALED: Foreign powers are controlling Indian politicians through blackmail! The truth they don't want you to know! 🚨 Share this with everyone you know!,1,167,26,2026-05-12,conspiracy reveal foreign power control indian politician blackmail truth dont share everyone,167,93,0.5568862275449101
🚨 BREAKING: The Election Commission has been compromised! Secret documents reveal massive vote manipulation planned - SHARE BEFORE DELETED! 🚨,1,141,20,2026-05-12,break election commission compromise secret document reveal massive vote manipulation plan share delete,141,103,0.7304964539007093
"In a press release, iSRO successfully launched its latest satellite mission from the Sriharikota spaceport at 9:30 AM this morning.",0,131,20,2026-05-12,press release isro successfully launch late satellite mission sriharikota spaceport morning,131,91,0.6946564885496184
MIRACLE CURE: This ancient herb eliminates cancer in 3 days! Doctors hate this simple trick! Watch before they take it down! Share this with everyone you know!,1,159,27,2026-05-12,miracle cure ancient herb eliminate cancer day doctor hate simple trick watch share everyone,159,92,0.5786163522012578
"The report states that stock markets closed at record highs today with the Sensex crossing 75,000 points for the first time in history.",0,135,23,2026-05-12,state stock market close record high today sensex cross point first history,135,75,0.5555555555555556
"YOUR MONEY IS NOT SAFE! The government is planning to confiscate all bank accounts over ₹50,000! Official document leaked! Share this with everyone you know!",1,157,25,2026-05-12,money safe government plan confiscate bank account official document leak share everyone,157,88,0.5605095541401274
WARNING: New study proves 5G towers are causing brain tumors! Governments are covering up the evidence! Share to spread awareness!,1,130,20,2026-05-12,warn new study prove tower cause brain tumor government cover evidence share spread awareness,130,93,0.7153846153846154
🚨 TRENDING: Major news network caught fabricating stories for 10 years! Whistleblower releases damning evidence! 🚨,1,114,16,2026-05-12,trend major network catch fabricate story year whistleblower release damn evidence,114,82,0.7192982456140351
SHOCKING: World leaders are actually AI-controlled robots! Former intelligence officer reveals the truth!,1,105,13,2026-05-12,shock world leader actually aicontrolled robot former intelligence officer reveals truth,105,88,0.8380952380952381
Microsoft announced a $3 billion investment in India to expand its cloud computing infrastructure over the next three years.,0,124,19,2026-05-12,microsoft announce billion investment india expand cloud compute infrastructure next year,124,89,0.717741935483871
"In a press release, the Election Commission announced that voting for the upcoming state assembly elections will take place in seven phases starting next month.",0,160,25,2026-05-12,press release election commission announce vote upcoming state assembly election place seven phase start next month,160,115,0.71875
